county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate,issuances_mail,issuances_ebt,issuances_ebt_conv_coupon
San Mateo,2066,80,1,6272,171,65,8338,251,66,5126,12514,17640,140,75,465,195,605,270,1,85,86,,0,0,9801,2684176.72,,,34928.53,,,2719105.25,2010,MAY,8655,2,5/1/10,0,9801,0
Santa Barbara,4703,20,0,7644,86,10,12347,106,10,9164,19222,28386,57,22,257,90,314,112,0,13,13,,0,0,13782,4043454.62,,,11990.96,,,4055445.58,2010,MAY,12463,2,5/1/10,0,13782,0
Santa Clara,10025,147,5,29109,578,611,39134,725,616,24719,62129,86848,312,181,1319,725,1631,906,7,877,884,,0,0,44299,12816313.5,,,248254.61,,,13064568.11,2010,MAY,40475,2,5/1/10,0,44299,0
Santa Cruz,1659,8,0,7481,70,13,9140,78,13,3932,14978,18910,13,11,211,78,224,89,0,16,16,,0,0,10369,2781252,,,10849,,,2792101,2010,MAY,9231,2,5/1/10,0,10369,0
Shasta,1730,0,0,7988,24,11,9718,24,11,4420,16323,20743,0,0,52,25,52,25,0,13,13,,0,0,10910,2989722,,,5630,,,2995352,2010,MAY,9753,2,5/1/10,0,10910,0
Sierra,16,0,0,91,0,1,107,0,1,40,204,244,0,0,0,0,0,0,0,1,1,,0,0,110,32957,,,200,,,33157,2010,MAY,108,2,5/1/10,0,110,0
Siskiyou,474,0,0,1758,6,1,2232,6,1,1317,3897,5214,0,0,20,6,20,6,0,1,1,,0,0,2430,752278,,,657,,,752935,2010,MAY,2239,2,5/1/10,0,2430,0
Solano,4230,56,1,11940,145,40,16170,201,41,10487,23357,33844,135,62,379,167,514,229,1,42,43,,0,0,18771,5250037.67,,,32568.77,,,5282606.44,2010,MAY,16412,2,5/1/10,0,18771,0
Sonoma,2681,33,0,10176,127,47,12857,160,47,6398,18603,25001,74,37,354,138,428,175,0,56,56,,0,0,14342,3841364.16,,,26551.58,,,3867915.74,2010,MAY,13064,2,5/1/10,0,14342,0
Stanislaus,7569,34,0,22619,126,25,30188,160,25,20224,51007,71231,88,36,397,132,485,168,0,30,30,,0,0,34708,10308390,,,25617,,,10334007,2010,MAY,30373,2,5/1/10,0,34708,0
Sutter,720,0,0,3170,60,3,3890,60,3,2102,7933,10035,0,0,164,77,164,77,0,3,3,,0,0,4217,1427076,,,7959,,,1435035,2010,MAY,3953,2,5/1/10,0,4217,0
Tehama,704,1,0,2806,40,10,3510,41,10,1962,6460,8422,4,1,103,51,107,52,0,14,14,,0,0,3806,1210891,,,8774,,,1219665,2010,MAY,3561,2,5/1/10,0,3806,0
Trinity,80,0,0,504,0,0,584,0,0,200,1082,1282,0,0,0,0,0,0,0,0,0,,0,0,584,191315,,,0,,,191315,2010,MAY,584,2,5/1/10,0,584,0
Tulare,9939,100,1,27763,489,95,37702,589,96,27139,68457,95596,275,106,1546,534,1821,640,1,108,109,,0,0,40823,13757182,,,79255,,,13836437,2010,MAY,38387,2,5/1/10,0,40823,0
Tuolumne,492,0,0,1961,5,1,2453,5,1,1251,3584,4835,0,0,11,5,11,5,0,1,1,,0,0,2646,702709,,,882,,,703591,2010,MAY,2459,2,5/1/10,0,2646,0
Ventura,4450,32,0,20918,202,44,25368,234,44,11291,43235,54526,86,44,587,221,673,265,0,61,61,,0,0,27634,7916295.71,,,34295,,,7950590.71,2010,MAY,25646,2,5/1/10,0,27634,0
Yolo,1344,56,0,4769,118,56,6113,174,56,3459,10396,13855,145,85,346,142,491,227,0,77,77,,0,0,6934,2090368.34,,,36959.89,,,2127328.23,2010,MAY,6343,2,5/1/10,0,6934,0
Yuba,1060,0,0,4191,33,14,5251,33,14,2761,9357,12118,0,0,76,40,76,40,0,23,23,,0,0,5771,1778907,,,8434,,,1787341,2010,MAY,5298,2,5/1/10,0,5771,0
California,304704,4749,61,975915,15475,6013,1280619,20224,6074,767515,2219056,2986571,10774,5950,42216,18227,52990,24177,69,7705,7774,,0,0,1820468,447579391.8,,,3793416.98,,,451372808.8,2009,NOV,1306917,4,11/1/09,0,1820468,0
Alameda,11466,323,2,32391,601,281,43857,924,283,26826,63999,90825,739,388,1463,750,2202,1138,2,359,361,,0,0,45064,14006689,,,188312,,,14195001,2009,NOV,45064,4,11/1/09,0,45064,0
Alpine,4,0,0,59,0,0,63,0,0,10,132,142,0,0,0,0,0,0,0,0,0,,0,0,58,20427,,,0,,,20427,2009,NOV,63,4,11/1/09,0,58,0
Amador,199,0,0,878,0,0,1077,0,0,528,1673,2201,0,0,0,0,0,0,0,0,0,,0,0,1167,337574,,,0,,,337574,2009,NOV,1077,4,11/1/09,0,1167,0
Butte,1752,0,0,9055,29,12,10807,29,12,4352,19207,23559,0,0,102,33,102,33,0,12,12,,0,0,11548,3439772,,,5321,,,3445093,2009,NOV,10848,4,11/1/09,0,11548,0
Calaveras,336,0,0,1351,6,0,1687,6,0,918,2732,3650,0,0,12,6,12,6,0,0,0,,0,0,1693,531178,,,483,,,531661,2009,NOV,1693,4,11/1/09,0,1693,0
Colusa,65,0,0,444,4,0,509,4,0,199,1325,1524,0,0,11,4,11,4,0,0,0,,0,0,557,190796,,,347,,,191143,2009,NOV,513,4,11/1/09,0,557,0
Contra Costa,6335,72,1,16785,192,46,23120,264,47,15420,35263,50683,154,87,542,239,696,326,1,66,67,,0,0,25706,7704451.68,,,45400.15,,,7749851.83,2009,NOV,23431,4,11/1/09,0,25706,0
Del Norte,449,1,0,1731,6,3,2180,7,3,1248,3457,4705,0,2,7,6,7,8,0,3,3,,0,0,2190,686701,,,245,,,686946,2009,NOV,2190,4,11/1/09,0,2190,0
El Dorado,534,1,0,3181,11,6,3715,12,6,1428,6329,7757,4,1,31,17,35,18,0,7,7,,0,0,4006,1140632.56,,,3007,,,1143639.56,2009,NOV,3733,4,11/1/09,0,4006,0
Fresno,17666,93,0,52298,427,85,69964,520,85,47803,129298,177101,230,106,1323,475,1553,581,0,104,104,,0,0,77232,25934509,,,79824,,,26014333,2009,NOV,70569,4,11/1/09,0,77232,0
Glenn,240,0,0,859,4,0,1099,4,0,647,2182,2829,0,0,16,5,16,5,0,0,0,,0,0,1209,387892,,,417,,,388309,2009,NOV,1103,4,11/1/09,0,1209,0
Humboldt,1040,0,0,5269,9,7,6309,9,7,2636,9819,12455,0,0,23,11,23,11,0,8,8,,0,0,6918,1836227,,,2629,,,1838856,2009,NOV,6325,4,11/1/09,0,6918,0
Imperial,1770,5,0,7995,250,34,9765,255,34,5310,20694,26004,12,6,682,272,694,278,0,46,46,,0,0,10054,3969105,,,31863,,,4000968,2009,NOV,10054,4,11/1/09,0,10054,0
Inyo,131,0,0,564,0,0,695,0,0,385,1058,1443,0,0,0,0,0,0,0,0,0,,0,0,719,190117,,,0,,,190117,2009,NOV,695,4,11/1/09,0,719,0
Kern,7764,11,0,34935,322,96,42699,333,96,22084,90304,112388,24,12,913,356,937,368,0,184,184,,0,0,38090,15806257,,,67724,,,15873981,2009,NOV,43128,4,11/1/09,0,38090,0
Kings,1095,1,0,5442,59,40,6537,60,40,2958,13116,16074,3,1,184,61,187,62,0,40,40,,0,0,6239,2419065,,,12287,,,2431352,2009,NOV,6637,4,11/1/09,0,6239,0
Lake,927,0,0,2565,20,3,3492,20,3,1539,6134,7673,0,0,49,19,49,19,0,4,4,,0,0,3776,1133698,,,2272,,,1135970,2009,NOV,3515,4,11/1/09,0,3776,0
Lassen,248,3,0,906,3,4,1154,6,4,677,1977,2654,6,4,6,3,12,7,0,4,4,,0,0,1245,395063,,,1402,,,396465,2009,NOV,1164,4,11/1/09,0,1245,0
Los Angeles,84973,1816,30,290781,5162,2191,375754,6978,2221,193788,627196,820984,3769,2292,13898,6104,17667,8396,35,2672,2707,,0,0,836271,129167224,,,1400422,,,130567646,2009,NOV,384953,4,11/1/09,0,836271,0
Madera,1096,0,0,6430,16,0,7526,16,0,3064,16701,19765,0,0,58,17,58,17,0,0,0,,0,0,8057,2772346,,,370,,,2772716,2009,NOV,7542,4,11/1/09,0,8057,0
Marin,512,0,0,3513,63,106,4025,63,106,1187,5559,6746,0,0,126,67,126,67,0,113,113,,0,0,4350,1063395,,,13438,,,1076833,2009,NOV,4194,4,11/1/09,0,4350,0
Mariposa,107,0,0,426,0,0,533,0,0,311,853,1164,0,0,0,0,0,0,0,0,0,,0,0,620,177746,,,0,,,177746,2009,NOV,533,4,11/1/09,0,620,0
Mendocino,703,0,0,4684,25,5,5387,25,5,1862,8530,10392,0,0,78,28,78,28,0,6,6,,0,0,5693,1571298,,,3361,,,1574659,2009,NOV,5417,4,11/1/09,0,5693,0
Merced,4923,23,1,11220,77,3,16143,100,4,13273,29135,42408,62,26,259,85,321,111,1,3,4,,0,0,17241,6015422,,,11627,,,6027049,2009,NOV,16247,4,11/1/09,0,17241,0
Modoc,65,0,0,324,0,0,389,0,0,178,781,959,0,0,0,0,0,0,0,0,0,,0,0,389,127140,,,0,,,127140,2009,NOV,389,4,11/1/09,0,389,0
Mono,21,0,0,260,0,0,281,0,0,59,398,457,0,0,0,0,0,0,0,0,0,,0,0,321,77442,,,0,,,77442,2009,NOV,281,4,11/1/09,0,321,0
Monterey,1994,4,0,7567,59,9,9561,63,9,5383,17607,22990,4,4,196,61,200,65,0,9,9,,0,0,11726,3722331,,,6137,,,3728468,2009,NOV,9633,4,11/1/09,0,11726,0
Napa,289,2,0,1913,10,7,2202,12,7,706,4137,4843,6,2,31,10,37,12,0,9,9,,0,0,2442,709906,,,3139,,,713045,2009,NOV,2221,4,11/1/09,0,2442,0
Nevada,374,0,0,1705,0,0,2079,0,0,1033,3381,4414,0,0,0,0,0,0,0,0,0,,0,0,2243,681283,,,0,,,681283,2009,NOV,2079,4,11/1/09,0,2243,0
Orange,13000,200,1,43682,1162,379,56682,1362,380,33072,103684,136756,463,245,2963,1467,3426,1712,3,486,489,,0,0,63519,19690335,,,231995,,,19922330,2009,NOV,58424,4,11/1/09,0,63519,0
Placer,1123,26,0,4357,43,20,5480,69,20,3048,9905,12953,52,38,114,52,166,90,0,27,27,,0,0,6003,1853538,,,13780,,,1867318,2009,NOV,5569,4,11/1/09,0,6003,0
Plumas,93,0,0,350,0,0,443,0,0,257,823,1080,0,0,0,0,0,0,0,0,0,,0,0,486,148242,,,0,,,148242,2009,NOV,443,4,11/1/09,0,486,0
Riverside,17964,193,1,50340,1052,169,68304,1245,170,49006,133900,182906,521,210,3356,1139,3877,1349,1,196,197,,0,0,74532,25957566,,,171032,,,26128598,2009,NOV,69719,4,11/1/09,0,74532,0
Sacramento,19260,624,7,49665,771,274,68925,1395,281,49888,112726,162614,1486,942,2034,1063,3520,2005,7,353,360,,0,0,75606,25083655,,,267030,,,25350685,2009,NOV,70601,4,11/1/09,0,75606,0
San Benito,340,1,0,1754,14,3,2094,15,3,995,3928,4923,3,1,45,18,48,19,0,4,4,,0,0,2112,717125,,,1960,,,719085,2009,NOV,2112,4,11/1/09,0,2112,0
San Bernardino,26111,265,3,72700,1206,348,98811,1471,351,70692,187568,258260,707,302,3669,1367,4376,1669,3,449,452,,0,0,108229,37380840,,,260984,,,37641824,2009,NOV,100633,4,11/1/09,0,108229,0
San Diego,17527,408,3,43893,920,327,61420,1328,330,47740,103171,150911,986,480,2464,1037,3450,1517,3,416,419,,0,0,69845,22713445,,,229962,,,22943407,2009,NOV,63078,4,11/1/09,0,69845,0
San Francisco,3242,145,2,20629,463,551,23871,608,553,7302,30122,37424,275,169,895,655,1170,824,2,756,758,,0,0,26475,5887390,,,195167,,,6082557,2009,NOV,25032,4,11/1/09,0,26475,0
San Joaquin,6131,8,0,23243,372,62,29374,380,62,16761,60722,77483,18,8,867,372,885,380,0,81,81,,0,0,31788,11381833,,,13733,,,11395566,2009,NOV,29816,4,11/1/09,0,31788,0
San Luis Obispo,1303,11,1,5110,34,14,6413,45,15,3216,9763,12979,24,12,86,37,110,49,1,17,18,,0,0,7434,1867310,,,6824,,,1874134,2009,NOV,6473,4,11/1/09,0,7434,0
San Mateo,1779,46,1,5344,158,46,7123,204,47,4302,10764,15066,101,51,389,171,490,222,1,59,60,,0,0,8389,2335865,,,34054,,,2369919,2009,NOV,7374,4,11/1/09,0,8389,0
Santa Barbara,4108,17,0,6820,85,5,10928,102,5,7739,17645,25384,42,18,277,91,319,109,0,6,6,,0,0,12296,3575692,,,9786,,,3585478,2009,NOV,11035,4,11/1/09,0,12296,0
Santa Clara,9920,138,4,26354,526,553,36274,664,557,24451,56775,81226,296,167,1187,676,1483,843,5,789,794,,0,0,40766,11941085,,,226301,,,12167386,2009,NOV,37495,4,11/1/09,0,40766,0
Santa Cruz,1489,8,0,6554,59,9,8043,67,9,3584,12970,16554,14,8,168,63,182,71,0,12,12,,0,0,9016,2407681.76,,,9019.92,,,2416701.68,2009,NOV,8119,4,11/1/09,0,9016,0
Shasta,1617,0,1,7511,18,9,9128,18,10,4099,15572,19671,0,0,41,19,41,19,1,10,11,,0,0,9797,2800176,,,4333,,,2804509,2009,NOV,9156,4,11/1/09,0,9797,0
Sierra,20,0,0,79,0,2,99,0,2,62,171,233,0,0,0,0,0,0,0,7,7,,0,0,111,32552,,,600,,,33152,2009,NOV,101,4,11/1/09,0,111,0
Siskiyou,437,0,0,1629,6,1,2066,6,1,1204,3719,4923,0,0,20,6,20,6,0,1,1,,0,0,2245,713765,,,854,,,714619,2009,NOV,2073,4,11/1/09,0,2245,0
Solano,4098,42,2,10976,132,46,15074,174,48,10246,21402,31648,107,48,350,144,457,192,2,50,52,,0,0,17050,4862331,,,29681,,,4892012,2009,NOV,15296,4,11/1/09,0,17050,0
Sonoma,2500,35,1,8887,92,32,11387,127,33,5943,16632,22575,81,38,244,100,325,138,1,38,39,,0,0,12672,3371678.82,,,19140.91,,,3390819.73,2009,NOV,11547,4,11/1/09,0,12672,0
Stanislaus,7438,32,0,19868,101,19,27306,133,19,19295,45975,65270,82,35,319,113,401,148,0,22,22,,0,0,29316,9393005,,,19950,,,9412955,2009,NOV,27458,4,11/1/09,0,29316,0
Sutter,681,1,0,2845,57,5,3526,58,5,2002,7163,9165,2,1,167,73,169,74,0,6,6,,0,0,3793,1320967,,,8855,,,1329822,2009,NOV,3589,4,11/1/09,0,3793,0
Tehama,674,2,0,2567,27,9,3241,29,9,1827,6085,7912,4,2,71,31,75,33,0,11,11,,0,0,3507,1130549,,,5945,,,1136494,2009,NOV,3279,4,11/1/09,0,3507,0
Trinity,85,0,0,489,0,0,574,0,0,223,1022,1245,0,0,0,0,0,0,0,0,0,,0,0,574,180784,,,0,,,180784,2009,NOV,574,4,11/1/09,0,574,0
Tulare,9546,103,0,25950,482,75,35496,585,75,26324,62384,88708,272,106,1512,511,1784,617,0,85,85,,0,0,38597,12922189,,,73884,,,12996073,2009,NOV,36156,4,11/1/09,0,38597,0
Tuolumne,560,0,0,1719,0,2,2279,0,2,1608,3400,5008,0,0,0,0,0,0,0,9,9,,0,0,2442,669810,,,585,,,670395,2009,NOV,2281,4,11/1/09,0,2442,0
Ventura,4400,34,0,18901,211,50,23301,245,50,10997,39815,50812,77,47,633,229,710,276,0,66,66,,0,0,25581,7446379,,,36422,,,7482801,2009,NOV,23596,4,11/1/09,0,25581,0
Yolo,1324,55,0,4247,97,49,5571,152,49,3396,9370,12766,148,91,267,127,415,218,0,72,72,,0,0,6268,1920541,,,31899,,,1952440,2009,NOV,5772,4,11/1/09,0,6268,0
Yuba,856,0,0,3921,32,16,4777,32,16,2424,8903,11327,0,0,68,37,68,37,0,28,28,,0,0,5195,1657375,,,9613,,,1666988,2009,NOV,4825,4,11/1/09,0,5195,0
California,302081,4679,66,966252,15144,5857,1268333,19823,5923,760023,2197582,2957605,10643,5831,41396,17855,52039,23686,78,7471,7549,,0,0,1828701,444804986,,,3719089.63,,,448524075.6,2009,OCT,1294079,4,10/1/09,0,1828701,0
Alameda,11285,322,2,32501,568,276,43786,890,278,26351,63904,90255,726,389,1384,708,2110,1097,2,357,359,,0,0,44954,14092738,,,184986,,,14277724,2009,OCT,44954,4,10/1/09,0,44954,0
Alpine,4,0,0,59,0,0,63,0,0,7,129,136,0,0,0,0,0,0,0,0,0,,0,0,58,18879,,,0,,,18879,2009,OCT,63,4,10/1/09,0,58,0
Amador,185,0,0,869,0,0,1054,0,0,504,1639,2143,0,0,0,0,0,0,0,0,0,,0,0,1150,328751,,,0,,,328751,2009,OCT,1054,4,10/1/09,0,1150,0
Butte,1769,1,0,9050,29,13,10819,30,13,4395,19161,23556,9,2,105,34,114,36,0,13,13,,0,0,11726,3460654,,,6854,,,3467508,2009,OCT,10862,4,10/1/09,0,11726,0
Calaveras,316,0,0,1314,6,0,1630,6,0,857,2663,3520,0,0,12,6,12,6,0,0,0,,0,0,1636,516500,,,716,,,517216,2009,OCT,1636,4,10/1/09,0,1636,0
Colusa,62,0,0,451,7,0,513,7,0,176,1265,1441,0,0,24,8,24,8,0,0,0,,0,0,550,184014,,,472,,,184486,2009,OCT,520,4,10/1/09,0,550,0
Contra Costa,6269,71,1,16602,182,49,22871,253,50,15221,34851,50072,158,86,492,221,650,307,1,68,69,,0,0,25838,7656581.21,,,42329.55,,,7698910.76,2009,OCT,23174,4,10/1/09,0,25838,0
Del Norte,444,3,0,1690,7,2,2134,10,2,1211,3388,4599,3,3,16,8,19,11,0,2,2,,0,0,2146,668464,,,745,,,669209,2009,OCT,2146,4,10/1/09,0,2146,0
El Dorado,500,0,0,3149,14,6,3649,14,6,1333,6248,7581,0,0,32,17,32,17,0,7,7,,0,0,4082,1141775,,,2818,,,1144593,2009,OCT,3669,4,10/1/09,0,4082,0
Fresno,17449,90,0,51653,419,87,69102,509,87,47259,127745,175004,227,99,1269,467,1496,566,0,102,102,,0,0,76788,25652282,,,79711,,,25731993,2009,OCT,69698,4,10/1/09,0,76788,0
Glenn,240,0,0,878,4,0,1118,4,0,658,2242,2900,0,0,13,5,13,5,0,0,0,,0,0,1206,394765,,,426,,,395191,2009,OCT,1122,4,10/1/09,0,1206,0
Humboldt,1028,0,0,5307,9,6,6335,9,6,2596,9871,12467,0,0,23,11,23,11,0,7,7,,0,0,7042,1853372,,,2284,,,1855656,2009,OCT,6350,4,10/1/09,0,7042,0
Imperial,1681,1,0,8215,238,27,9896,239,27,5067,21538,26605,1,1,659,255,660,256,0,32,32,,0,0,10162,4034317,,,28763,,,4063080,2009,OCT,10162,4,10/1/09,0,10162,0
Inyo,127,0,0,552,0,0,679,0,0,399,1068,1467,0,0,0,0,0,0,0,0,0,,0,0,714,186204,,,0,,,186204,2009,OCT,679,4,10/1/09,0,714,0
Kern,7583,7,0,35949,318,81,43532,325,81,21458,93101,114559,16,9,928,356,944,365,0,119,119,,0,0,48357,16213690,,,61854,,,16275544,2009,OCT,43938,4,10/1/09,0,48357,0
Kings,1131,0,1,6003,61,54,7134,61,55,3094,14484,17578,0,0,193,65,193,65,1,54,55,,0,0,7879,2439119,,,14280,,,2453399,2009,OCT,7250,4,10/1/09,0,7879,0
Lake,933,0,0,2518,16,4,3451,16,4,1538,6064,7602,0,0,42,18,42,18,0,4,4,,0,0,3757,1123974,,,2311,,,1126285,2009,OCT,3471,4,10/1/09,0,3757,0
Lassen,262,3,0,875,3,3,1137,6,3,722,1872,2594,7,3,0,3,7,6,0,3,3,,0,0,1250,386383,,,886,,,387269,2009,OCT,1146,4,10/1/09,0,1250,0
Los Angeles,85322,1819,31,286672,5022,2131,371994,6841,2162,195191,618754,813945,3811,2292,13601,5940,17412,8232,40,2618,2658,,0,0,835196,128396923,,,1378550,,,129775473,2009,OCT,380997,4,10/1/09,0,835196,0
Madera,1046,0,0,6390,15,0,7436,15,0,2925,16637,19562,0,0,59,15,59,15,0,0,0,,0,0,7980,2742714,,,1065,,,2743779,2009,OCT,7451,4,10/1/09,0,7980,0
Marin,521,0,0,3455,63,105,3976,63,105,1193,5488,6681,0,0,127,67,127,67,0,116,116,,0,0,4296,1056905,,,14817,,,1071722,2009,OCT,4144,4,10/1/09,0,4296,0
Mariposa,109,0,0,418,0,0,527,0,0,307,832,1139,0,0,0,0,0,0,0,0,0,,0,0,581,168463,,,0,,,168463,2009,OCT,527,4,10/1/09,0,581,0
Mendocino,696,0,0,4675,24,6,5371,24,6,1803,8558,10361,0,0,77,25,77,25,0,8,8,,0,0,5615,1558720,,,3925,,,1562645,2009,OCT,5401,4,10/1/09,0,5615,0
Merced,4927,21,1,11007,82,2,15934,103,3,13361,28582,41943,56,24,273,91,329,115,1,2,3,,0,0,17127,5957254,,,12658,,,5969912,2009,OCT,16040,4,10/1/09,0,17127,0
Modoc,64,0,0,323,0,0,387,0,0,171,773,944,0,0,0,0,0,0,0,0,0,,0,0,387,123356,,,0,,,123356,2009,OCT,387,4,10/1/09,0,387,0
Mono,19,0,0,286,1,0,305,1,0,59,435,494,0,0,2,1,2,1,0,0,0,,0,0,343,79503,,,200,,,79703,2009,OCT,306,4,10/1/09,0,343,0
Monterey,1958,1,0,9374,65,7,11332,66,7,5379,21855,27234,2,1,217,68,219,69,0,8,8,,0,0,12344,3839274,,,5546,,,3844820,2009,OCT,11405,4,10/1/09,0,12344,0
Napa,276,0,0,1846,9,6,2122,9,6,692,3962,4654,0,0,23,9,23,9,0,7,7,,0,0,2286,671867,,,2129,,,673996,2009,OCT,2137,4,10/1/09,0,2286,0
Nevada,364,0,0,1708,0,0,2072,0,0,990,3390,4380,0,0,0,0,0,0,0,0,0,,0,0,2277,684065,,,0,,,684065,2009,OCT,2072,4,10/1/09,0,2277,0
Orange,12857,190,1,42429,1125,360,55286,1315,361,32606,100423,133029,441,231,2854,1427,3295,1658,3,472,475,,0,0,63354,19399241,,,222948,,,19622189,2009,OCT,56962,4,10/1/09,0,63354,0
Placer,1125,25,1,4307,36,20,5432,61,21,3061,9732,12793,52,37,108,43,160,80,1,28,29,,0,0,6055,1851222,,,12224,,,1863446,2009,OCT,5514,4,10/1/09,0,6055,0
Plumas,90,0,0,336,0,0,426,0,0,246,770,1016,0,0,0,0,0,0,0,0,0,,0,0,472,143925,,,0,,,143925,2009,OCT,426,4,10/1/09,0,472,0
Riverside,17702,189,1,48742,1021,164,66444,1210,165,48414,130368,178782,532,204,3240,1113,3772,1317,1,191,192,,0,0,73040,25396197,,,169062,,,25565259,2009,OCT,67819,4,10/1/09,0,73040,0
Sacramento,19008,631,7,49280,772,267,68288,1403,274,49060,111663,160723,1500,948,2009,1063,3509,2011,7,349,356,,0,0,75492,24883636,,,269909,,,25153545,2009,OCT,69965,4,10/1/09,0,75492,0
San Benito,343,0,0,1761,13,2,2104,13,2,1009,3983,4992,0,0,45,17,45,17,0,3,3,,0,0,2119,733467,,,1893,,,735360,2009,OCT,2119,4,10/1/09,0,2119,0
San Bernardino,25538,269,3,71141,1196,332,96679,1465,335,69107,184868,253975,709,303,3619,1363,4328,1666,3,427,430,,0,0,108052,37029199,,,253423,,,37282622,2009,OCT,98479,4,10/1/09,0,108052,0
San Diego,17388,381,3,42926,925,318,60314,1306,321,47360,100886,148246,910,445,2489,1050,3399,1495,3,386,389,,0,0,70530,22581825,,,223411,,,22805236,2009,OCT,61941,4,10/1/09,0,70530,0
San Francisco,3202,148,3,20682,447,533,23884,595,536,7166,29917,37083,278,173,860,638,1138,811,3,734,737,,0,0,27083,5942498,,,189749,,,6132247,2009,OCT,25015,4,10/1/09,0,27083,0
San Joaquin,6129,8,2,22911,370,65,29040,378,67,16787,59683,76470,13,8,867,370,880,378,2,84,86,,0,0,31683,11302482,,,15065,,,11317547,2009,OCT,29485,4,10/1/09,0,31683,0
San Luis Obispo,1287,13,1,4964,30,14,6251,43,15,3161,9528,12689,28,14,78,31,106,45,1,16,17,,0,0,7351,1846668,,,6738,,,1853406,2009,OCT,6309,4,10/1/09,0,7351,0
San Mateo,1748,44,1,5237,148,44,6985,192,45,4212,10547,14759,95,46,385,159,480,205,1,55,56,,0,0,8422,2319739,,,28989,,,2348728,2009,OCT,7222,4,10/1/09,0,8422,0
Santa Barbara,3995,18,0,6852,74,5,10847,92,5,7518,17600,25118,45,19,249,80,294,99,0,6,6,,0,0,12447,3579141,,,8572,,,3587713,2009,OCT,10944,4,10/1/09,0,12447,0
Santa Clara,9665,128,2,26145,532,544,35810,660,546,23588,56579,80167,282,151,1191,680,1473,831,2,774,776,,0,0,40815,11915405,,,221273,,,12136678,2009,OCT,37016,4,10/1/09,0,40815,0
Santa Cruz,1426,6,0,6416,50,7,7842,56,7,3470,12368,15838,11,10,148,53,159,63,0,10,10,,0,0,8861,2335096.2,,,8392.21,,,2343488.41,2009,OCT,7905,4,10/1/09,0,8861,0
Shasta,1623,1,0,7386,18,9,9009,19,9,4115,15265,19380,1,2,42,18,43,20,0,10,10,,0,0,9809,2774292,,,3894,,,2778186,2009,OCT,9037,4,10/1/09,0,9809,0
Sierra,15,0,0,84,0,1,99,0,1,44,174,218,0,0,0,0,0,0,0,1,1,,0,0,104,30110,,,200,,,30310,2009,OCT,100,4,10/1/09,0,104,0
Siskiyou,430,0,0,1592,7,1,2022,7,1,1189,3641,4830,0,0,22,7,22,7,0,1,1,,0,0,2233,700936,,,961,,,701897,2009,OCT,2030,4,10/1/09,0,2233,0
Solano,4089,42,2,10795,138,47,14884,180,49,10212,21095,31307,108,47,373,146,481,193,2,55,57,,0,0,16926,4832696,,,31169,,,4863865,2009,OCT,15113,4,10/1/09,0,16926,0
Sonoma,2632,32,1,9070,90,32,11702,122,33,5855,16400,22255,73,36,243,100,316,136,1,37,38,,0,0,12681,3385277.33,,,19390.67,,,3404668,2009,OCT,11857,4,10/1/09,0,12681,0
Stanislaus,7325,31,1,19630,108,17,26955,139,18,18896,45545,64441,80,33,338,121,418,154,1,20,21,,0,0,29140,9284672,,,20947,,,9305619,2009,OCT,27112,4,10/1/09,0,29140,0
Sutter,665,1,0,2799,51,8,3464,52,8,1955,7016,8971,3,1,149,65,152,66,0,8,8,,0,0,3750,1295929,,,8463,,,1304392,2009,OCT,3524,4,10/1/09,0,3750,0
Tehama,666,2,0,2534,26,9,3200,28,9,1807,5912,7719,4,2,72,31,76,33,0,10,10,,0,0,3544,1128208,,,5966,,,1134174,2009,OCT,3237,4,10/1/09,0,3544,0
Trinity,92,0,0,493,0,0,585,0,0,240,1039,1279,0,0,0,0,0,0,0,0,0,,0,0,585,187430,,,0,,,187430,2009,OCT,585,4,10/1/09,0,585,0
Tulare,9338,95,0,25681,480,76,35019,575,76,25611,61910,87521,249,99,1523,503,1772,602,0,89,89,,0,0,37194,12742438,,,70774,,,12813212,2009,OCT,35670,4,10/1/09,0,37194,0
Tuolumne,555,0,0,1701,0,3,2256,0,3,1544,3407,4951,0,0,0,0,0,0,0,11,11,,0,0,2438,661363,,,1204,,,662567,2009,OCT,2259,4,10/1/09,0,2438,0
Ventura,4420,39,0,18526,206,50,22946,245,50,11068,38809,49877,97,49,608,228,705,277,0,67,67,,0,0,25471,7365035,,,35959,,,7400994,2009,OCT,23241,4,10/1/09,0,25471,0
